DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,4.3351916960059,520.3234,
1961-12-31,4.9613993034839,590.7799,13.2038
1962-12-31,5.2130431680939,617.0572,0.3648
1963-12-31,5.8952814315919,695.229,11.8449
1964-12-31,6.6696698496184,783.7055,9.4097
1965-12-31,7.6891483741922,899.2806,10.768
1966-12-31,8.5915224869344,997.431,6.4945
1967-12-31,9.2756008003564,1068.1146,5.6695
1968-12-31,10.090674766703,1154.4384,7.2037
1969-12-31,11.615655895405,1324.0589,11.5637
1970-12-31,13.139863636364,1494.388,8.9306
1971-12-31,14.59175,1652.326,7.8412
1972-12-31,16.885511363636,1899.6758,10.1602
1973-12-31,22.347848101266,2502.8147,8.0924
1974-12-31,25.351306818182,2828.7486,-6.4382
1975-12-31,28.525876726886,3153.2358,6.3668
1976-12-31,31.152835820896,3390.545,6.8519
1977-12-31,36.176234967623,3886.3745,2.941
1978-12-31,44.270204081633,4694.6338,7.2469
1979-12-31,54.481876724931,5705.9494,3.2821
1980-12-31,56.829664268585,5893.6619,0.6771
1981-12-31,52.346506765068,5380.2676,-1.5537
1982-12-31,54.617989795918,5579.2346,-1.1326
1983-12-31,49.428873839009,5019.8788,-1.0786
1984-12-31,48.020024183797,4852.5657,2.0106
1985-12-31,47.820851221317,4813.7112,2.5096
1986-12-31,56.379593476144,5656.5053,0.5177
1987-12-31,65.652750377454,6564.8844,-2.2589
1988-12-31,76.261277924574,7598.028,4.2879
1989-12-31,79.169043222828,7846.6781,3.8
1990-12-31,97.891092003439,9600.1852,0
1991-12-31,105.14323237988,10188.3698,3.1
1992-12-31,116.22467286378,11176.4584,0.7
1993-12-31,108.80905915577,10401.983,-1.6
1994-12-31,116.60180196629,11091.2838,2
1995-12-31,136.87836593617,12959.3243,2.0997
1996-12-31,145.86161240091,13749.1151,2.8621
1997-12-31,143.15760014976,13427.8325,4.4842
1998-12-31,144.42817248933,13472.1376,3.8949
1999-12-31,142.58887529375,13249.6633,3.0726
2000-12-31,130.45775662844,12072.9294,3.9198
2001-12-31,136.30929522534,12549.0369,4.1316
2002-12-31,154.56420358695,14177.5722,3.9229
2003-12-31,202.37014023627,18518.3788,5.7945
2004-12-31,240.96356223613,21995.4779,5.061
2005-12-31,247.87542220441,22560.1473,0.5991
2006-12-31,273.54672847307,24821.9367,5.6524
2007-12-31,318.90282955073,28863.9733,3.2737
2008-12-31,355.90868947745,32127.9832,-0.3352
2009-12-31,331.30850025327,29828.756,-4.3007
2010-12-31,297.1249619715,26716.6488,-5.4778
2011-12-31,282.99594200656,25483.8826,-10.1493
2012-12-31,242.02930713341,21912.9983,-7.0867
2013-12-31,238.90769005113,21787.7878,-2.516
2014-12-31,235.45813312461,21616.71,0.4757
2015-12-31,195.68352700337,18083.8779,-0.1961
2016-12-31,193.14814658693,17923.9668,-0.4872
2017-12-31,199.84440601353,18582.0893,1.0921
2018-12-31,212.04944724211,19756.9905,1.6684
2019-12-31,205.25276088936,19143.8876,1.8795
2020-12-31,188.48033728561,17617.2915,-9.3164
2021-12-31,214.6678074412,20310.6825,8.3799
2022-12-31,217.58132451206,20867.2691,5.5573
2023-12-31,238.20631263253,22990.0136,2.0115
